990,1188,1132,1199,1130,1226,988,1216
1206,1206,1285,1206,1285,1230,1206,1230
1375,1216,1440,1216,1440,1240,1375,1240
1206,1229,1259,1234,1257,1260,1204,1255
574,1247,605,1247,605,1268,574,1268
623,1245,685,1250,683,1276,621,1271
690,1254,718,1254,718,1275,690,1275
728,1254,770,1254,770,1278,728,1278
774,1251,833,1257,831,1283,771,1277
842,1261,897,1261,897,1285,842,1285
1058,1275,1134,1275,1134,1299,1058,1299
635,1278,718,1278,718,1302,635,1302
739,1282,766,1282,766,1302,739,1302
770,1282,818,1282,818,1306,770,1306
1203,1282,1268,1282,1268,1306,1203,1306
1278,1285,1309,1285,1309,1306,1278,1306
1371,1292,1399,1292,1399,1313,1371,1313
1409,1292,1450,1292,1450,1316,1409,1316
426,1312,509,1317,508,1342,424,1337
591,1311,665,1320,661,1354,587,1345
512,1316,584,1316,584,1347,512,1347
815,1332,923,1340,921,1372,813,1364
1038,1347,1127,1347,1127,1375,1038,1375
1199,1357,1223,1357,1223,1378,1199,1378
1223,1357,1265,1357,1265,1381,1223,1381
1275,1361,1306,1361,1306,1381,1275,1381
1368,1368,1395,1368,1395,1388,1368,1388
1402,1368,1447,1368,1447,1388,1402,1388
127,1490,248,1495,247,1517,126,1512
247,1498,271,1498,271,1519,247,1519
949,1497,992,1502,989,1527,946,1522
275,1502,302,1502,302,1515,275,1515
305,1502,381,1502,381,1526,305,1526
996,1498,1027,1498,1027,1526,996,1526
1038,1503,1098,1509,1095,1536,1036,1530
134,1522,168,1522,168,1543,134,1543
168,1526,264,1526,264,1546,168,1546
794,1526,811,1526,811,1546,794,1546
814,1525,925,1530,924,1554,813,1549
264,1533,285,1533,285,1550,264,1550
305,1536,385,1536,385,1550,305,1550
385,1538,454,1542,453,1561,383,1556
460,1543,580,1543,580,1564,460,1564
134,1546,213,1546,213,1560,134,1560
212,1552,260,1547,261,1564,213,1568
577,1550,608,1550,608,1564,577,1564
608,1550,639,1550,639,1567,608,1567
636,1548,689,1554,687,1571,634,1564
261,1553,299,1553,299,1567,261,1567
302,1557,374,1557,374,1574,302,1574
797,1557,831,1557,831,1577,797,1577
392,1557,492,1563,491,1579,391,1573
832,1558,925,1564,924,1587,830,1581
925,1560,995,1568,992,1589,923,1582
515,1567,539,1567,539,1581,515,1581
993,1567,1048,1567,1048,1588,993,1588
539,1570,598,1570,598,1584,539,1584
601,1570,653,1570,653,1588,601,1588
1045,1570,1141,1570,1141,1591,1045,1591
670,1574,718,1574,718,1591,670,1591
1137,1577,1161,1577,1161,1591,1137,1591
814,1581,838,1581,838,1595,814,1595
1165,1581,1213,1581,1213,1598,1165,1598
1213,1581,1285,1581,1285,1601,1213,1601
842,1583,898,1587,896,1602,841,1598
1285,1584,1330,1584,1330,1598,1285,1598
900,1588,952,1588,952,1601,900,1601
1333,1588,1402,1588,1402,1608,1333,1608
972,1591,1003,1591,1003,1608,972,1608
1034,1595,1062,1595,1062,1612,1034,1612
